dataset,output_data,output_metrics,mindcf_fp_rate,mindcf_precision,mindcf_rank1_precision,mindcf_rank1_known_precision,mindcf_rank5_precision,mindcf_recall,mindcf_mcc,mindcf_fscore,mindcf_accuracy,mindcf_confusion,mindcf_threshold,mindcf_average
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_12.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_12_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_12_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",51.35409958,4.15E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_11.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_11_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_11_r500_s100metrics.json,0,1,1,1,1,0.6,0.77459601,0.75,0.999998297,"[[      3       2]
 [      0 1174410]]",51.44600684,3.90E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_19.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_19_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_19_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",51.62791725,3.96E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_23.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_23_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_23_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",51.45971398,4.29E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_22.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_22_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_22_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",50.85644082,3.70E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_29.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_29_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_29_r500_s100metrics.json,8.51E-07,0.75,1,1,1,0.6,0.670819156,0.666666667,0.999997446,"[[      3       2]
 [      1 1174409]]",50.96615209,3.75E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_26.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_26_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_26_r500_s100metrics.json,0,1,1,1,1,0.6,0.77459601,0.75,0.999998297,"[[      3       2]
 [      0 1174410]]",51.79307589,4.07E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_20.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_20_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_20_r500_s100metrics.json,8.51E-07,0.5,0.5,0.5,0.5,0.2,0.316226016,0.285714286,0.999995743,"[[      1       4]
 [      1 1174409]]",51.77313611,3.65E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_27.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_27_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_27_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",50.79528797,3.75E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_21.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_21_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_21_r500_s100metrics.json,8.51E-07,0.5,0.5,0.5,0.5,0.2,0.316226016,0.285714286,0.999995743,"[[      1       4]
 [      1 1174409]]",51.47855017,3.97E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_25.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_25_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_25_r500_s100metrics.json,0,nan,,,,0,nan,nan,0.999995743,"[[      0       5]
 [      0 1174410]]",51.9344536,4.11E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_24.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_24_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_24_r500_s100metrics.json,2.55E-06,0.25,0.25,0.25,0.25,0.2,0.223603847,0.222222222,0.99999404,"[[      1       4]
 [      3 1174407]]",50.73113773,3.59E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_28.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_28_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_28_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",51.79283356,4.27E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_36.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_36_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_36_r500_s100metrics.json,8.51E-07,0.5,0.5,0.5,0.5,0.2,0.316226016,0.285714286,0.999995743,"[[      1       4]
 [      1 1174409]]",50.4436718,3.99E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_32.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_32_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_32_r500_s100metrics.json,0,1,1,1,1,0.2,0.447212834,0.333333333,0.999996594,"[[      1       4]
 [      0 1174410]]",51.11835415,4.01E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_33.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_33_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_33_r500_s100metrics.json,0,1,1,1,1,0.6,0.77459601,0.75,0.999998297,"[[      3       2]
 [      0 1174410]]",51.7059263,3.87E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_30.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_30_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_30_r500_s100metrics.json,8.51E-07,0.666666667,0.666666667,0.666666667,0.666666667,0.4,0.516396241,0.5,0.999996594,"[[      2       3]
 [      1 1174409]]",52.27091439,4.04E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_31.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_31_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_31_r500_s100metrics.json,0,1,1,1,1,0.6,0.77459601,0.75,0.999998297,"[[      3       2]
 [      0 1174410]]",52.84257068,4.10E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_38.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_38_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_38_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",51.4000489,4.08E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_35.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_35_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_35_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",51.22930675,3.63E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_39.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_39_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_39_r500_s100metrics.json,0,1,1,1,1,0.2,0.447212834,0.333333333,0.999996594,"[[      1       4]
 [      0 1174410]]",50.73219891,3.79E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_37.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_37_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_37_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",51.52651204,3.82E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_34.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_34_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_34_r500_s100metrics.json,0,nan,,,,0,nan,nan,0.999995743,"[[      0       5]
 [      0 1174410]]",51.50682252,3.92E-05
